GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
powerball,989,"Thursday 30 Apr 2015","6 15 18 24 35 37 ","15 "
powerball,988,"Thursday 23 Apr 2015","2 9 25 27 32 34 ","8 "
powerball,987,"Thursday 16 Apr 2015","6 8 18 25 27 29 ","2 "
powerball,986,"Thursday 09 Apr 2015","6 9 17 23 30 37 ","11 "
powerball,985,"Thursday 02 Apr 2015","5 9 11 23 24 33 ","13 "
powerball,984,"Thursday 26 Mar 2015","1 10 15 19 25 35 ","18 "
powerball,983,"Thursday 19 Mar 2015","7 8 14 18 24 35 ","15 "
powerball,982,"Thursday 12 Mar 2015","4 6 8 23 32 40 ","1 "
powerball,981,"Thursday 05 Mar 2015","2 4 6 23 28 32 ","7 "
powerball,980,"Thursday 26 Feb 2015","5 8 18 19 22 36 ","9 "
powerball,979,"Thursday 19 Feb 2015","3 4 7 27 36 38 ","11 "
powerball,978,"Thursday 12 Feb 2015","1 3 5 11 28 39 ","10 "
powerball,977,"Thursday 05 Feb 2015","16 21 22 29 31 36 ","13 "
powerball,976,"Thursday 29 Jan 2015","3 6 18 32 35 37 ","2 "
powerball,975,"Thursday 22 Jan 2015","13 17 22 25 38 40 ","2 "
powerball,974,"Thursday 15 Jan 2015","5 13 20 26 31 37 ","3 "
powerball,973,"Thursday 08 Jan 2015","2 10 15 32 34 37 ","5 "
powerball,972,"Thursday 01 Jan 2015","18 24 25 27 32 34 ","6 "
powerball,971,"Thursday 25 Dec 2014","13 16 19 31 32 38 ","5 "
powerball,970,"Thursday 18 Dec 2014","14 24 33 35 36 38 ","2 "
powerball,969,"Thursday 11 Dec 2014","7 9 20 31 32 36 ","19 "
powerball,968,"Thursday 04 Dec 2014","4 5 6 8 36 39 ","8 "
powerball,967,"Thursday 27 Nov 2014","3 5 10 22 32 37 ","13 "
powerball,966,"Thursday 20 Nov 2014","7 24 25 26 36 37 ","12 "
powerball,965,"Thursday 13 Nov 2014","4 5 7 14 19 28 ","18 "
powerball,964,"Thursday 06 Nov 2014","5 12 21 27 29 39 ","19 "
powerball,963,"Thursday 30 Oct 2014","1 4 6 15 30 36 ","5 "
powerball,962,"Thursday 23 Oct 2014","13 19 22 24 30 39 ","11 "
powerball,961,"Thursday 16 Oct 2014","4 9 13 18 26 34 ","3 "
powerball,960,"Thursday 09 Oct 2014","2 24 25 26 29 35 ","8 "
powerball,959,"Thursday 02 Oct 2014","13 17 18 23 25 27 ","1 "
powerball,958,"Thursday 25 Sep 2014","9 19 27 31 32 40 ","1 "
powerball,957,"Thursday 18 Sep 2014","3 10 11 16 34 35 ","4 "
powerball,956,"Thursday 11 Sep 2014","4 16 18 30 39 40 ","19 "
powerball,955,"Thursday 04 Sep 2014","2 17 18 24 25 26 ","6 "
powerball,954,"Thursday 28 Aug 2014","9 11 14 23 26 28 ","11 "
powerball,953,"Thursday 21 Aug 2014","5 7 8 19 32 40 ","12 "
powerball,952,"Thursday 14 Aug 2014","1 8 12 26 31 38 ","6 "
powerball,951,"Thursday 07 Aug 2014","7 12 26 27 31 32 ","12 "
powerball,950,"Thursday 31 Jul 2014","5 16 23 24 31 37 ","15 "
powerball,949,"Thursday 24 Jul 2014","1 8 11 15 21 31 ","20 "
powerball,948,"Thursday 17 Jul 2014","1 6 9 31 38 39 ","10 "
powerball,947,"Thursday 10 Jul 2014","10 13 15 20 21 33 ","2 "
powerball,946,"Thursday 03 Jul 2014","26 27 28 31 36 38 ","15 "
powerball,945,"Thursday 26 Jun 2014","2 9 10 20 32 33 ","7 "
powerball,944,"Thursday 19 Jun 2014","17 26 30 32 35 40 ","19 "
powerball,943,"Thursday 12 Jun 2014","6 19 24 29 32 39 ","7 "
